label,sample,height,del13C,del18O,lab,biozone,biozone label,reference,locality,geographic location,standard material,temperature during sample digestion ,reference,sample material,external repr. del13C,external repr. del18O,latitude,longitude
"Meishan D (Cao et al., 2002)",NA,-24,2.47,-4.48,Nanjing Institute of Geology and Palaeontology,C. meishanensis,F,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-29,2.3,-6.58,Nanjing Institute of Geology and Palaeontology,C. meishanensis,F,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-38,2.56,-5.14,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-43,2.7,-4.31,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-55,3.02,-4.88,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-60,3.15,-6.37,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-78,3.24,-6.16,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-81,3.55,-4.66,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-94,3.73,-4.85,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-97,3.53,-5.6,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-110,3.62,-5.95,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-160,3.95,-6.24,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-169,3.95,-7.55,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-181,4.07,-4.27,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-223,3.83,-4.94,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-256,4.4,-6.29,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-282,3.28,-7.95,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-290,NA,NA,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-294,3.69,-7.24,Nanjing Institute of Geology and Palaeontology,C. yini,E,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-307,3.47,-8.89,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-310,4.31,-6.41,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-313,3.93,-6.34,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-318,4.07,-5.26,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-325,3.83,-6.44,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-331,3.85,-6.52,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-348,3.89,-6.57,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-357,3.33,-7.26,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-361,3.59,-6.51,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-367,4.03,-6.06,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-377,3.66,-6.57,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-382,3.44,-7.03,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-389,3.4,-7.52,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-397,3.25,-6.89,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-405,3.85,-6.22,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-410,3.64,-6.68,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-417,3.43,-5.71,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-424,3.57,-6.43,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-430,4.17,-5.56,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-433,2.91,-7.2,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-449,3.77,-7.85,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-452,3.57,-6.42,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-459,3.82,-8.65,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-465,3.34,-5.51,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-472,3.69,-6.14,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-497,3.9,-5.16,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-507,3.67,-4.87,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-557,3.72,-4.74,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-574,4.21,-4.77,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-587,3.17,-5.51,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-594,3.69,-6.37,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-605,3.44,-4.93,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-612,3.92,-4.23,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-629,2.87,-6.98,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-643,3.86,-6.99,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-659,2.76,-5.31,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-672,3.42,-4.55,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-689,3.37,-5.65,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-696,2.9,-6.44,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
"Meishan D (Cao et al., 2002)",NA,-707,3.25,-6.12,Nanjing Institute of Geology and Palaeontology,C. chanxingensis,D,"Cao, C., Wang, W., and Jin, Y.: Carbon isotope excursions across the Permian-Triassic boundary in the Meishan section , Zhejiang Province, China, Chinese Science Bulletin, 47, 1125–1129, doi:10.1360/02tb9252, http://link.springer.com/article/10.1360/02tb9252, 2002.",Meishan,China,GBW04405,25,PDB,bulk carbonate rock,0.03,0.03,31.1,119.7
